stockName,MarketCap,P/E,ForP/E,PEG,P/S,P/B,P/Cash,EPS,Own,ROA,ROE,Ratio,D/E,Margin,20SMA,52wkH/L,RSI,Gap,Price,Change,Volume
DATE,71.76,17.59,12.44,1.17,1.14,1.84,0.74,0.29,0.2,0.06,0.08,4.56,0,0.1,0,1.86,49.3,-0.01,5.1,0,7200
DAVE,84.45,23.89,15.18,1.99,0.55,2.48,42.01,0.47,0.05,0.05,0.11,0.88,0.31,0.02,0.04,1.52,64.45,-0.04,11.23,0.05,69914
DBD,1901.47,23.45,13.65,3.13,0.64,2.35,3.01,1.28,0,0.03,0.1,2.16,0.8,0.03,0.01,1.44,60.17,0,30.02,0.01,714757
DCI,5254.37,22.1,18.65,1.91,2.11,5.24,18.47,1.62,0.01,0.15,0.26,2.13,0.26,0.1,0.02,1.26,55.19,0,35.8,0,390622
DD,48692.86,21.16,12.11,3.01,1.41,3.97,7.4,2.5,0,0.05,0.22,1.95,1.08,0.07,0.06,1.3,70.65,0,52.9,-0.01,5685545
DDD,3202.22,73.55,27.66,2.95,9.06,6.43,20.55,0.47,0.07,0.07,0.11,3.82,0.18,0.11,0.04,2.82,54.39,-0.01,34.57,-0.02,1666576
DDS,3883.08,12.09,10.82,2.2,0.58,2.02,31.3,6.89,0.08,0.08,0.17,1.94,0.42,0.05,0.04,1.56,64.46,0,83.31,0,268023
DECK,1868.26,15.3,12.57,1.56,1.32,2.53,16.95,3.55,0.05,0.12,0.16,2.59,0.13,0.09,-0.05,2.45,48.62,-0.04,54.31,-0.09,3657210
DELL,23325.39,9.89,8.04,1.02,0.41,2.17,1.83,1.35,0,0.05,0.24,1.19,0.85,0.04,-0.04,1.9,32.48,0,13.35,0,14587349
DEST,315.69,14.78,12.42,0.99,0.58,2.94,12.78,1.58,0.03,0.11,0.21,2.07,0.02,0.04,0,1.54,53.7,-0.01,23.35,-0.01,114064
DF,3536.42,30.58,14.26,2.11,0.31,9.87,44.78,0.62,0.02,0.02,0.91,1.64,8.69,0.01,0.04,1.65,62.14,0,18.96,0.02,1783812
DFZ,153.21,12.23,10.77,0.87,1.05,1.83,3.7,1.11,0.05,0.1,0.16,4.34,0.27,0.09,0.02,1.37,58.19,0,13.57,-0.01,17066
DG,17286.5,18.54,13.94,1.13,1.08,3.47,122.76,2.85,0,0.1,0.2,1.54,0.56,0.06,0.04,1.41,68.44,0,52.83,0,2069332
DGAS,146.66,20.39,21.85,5.1,2.03,2.17,78.85,1.05,0,0.04,0.11,2.16,0.83,0.1,0.02,1.44,55.81,0,21.41,-0.01,5053
DGI,2185.96,34.92,37.13,3.26,5.19,2.56,8.88,0.84,0.01,0.03,0.08,3.32,0.9,0.09,0.05,2.51,61.77,-0.01,29.33,-0.02,680467
DGII,238.06,29.35,18.2,2.94,1.25,0.87,2.34,0.31,0.01,0.03,0.03,8.35,0,0.04,0.02,1.39,48.58,0,9.1,-0.02,139513
DHR,41521.04,17.22,15.77,1.49,2.26,2.11,19.31,3.48,0,0.08,0.13,2.01,0.23,0.13,-0.01,1.28,46.79,0,59.94,-0.01,2629534
DHX,515.48,14.84,12.85,1.05,2.58,2.67,11.29,0.58,0.02,0.11,0.18,0.76,0.18,0.18,-0.07,1.58,27.16,-0.01,8.61,0,226406
DIN,1369.98,10.68,16.82,1.07,1.61,4.4,21.23,6.63,0.01,0.05,0.58,1.1,4.52,0.15,0.02,1.89,56.58,0,70.8,0,107350
DIOD,886.81,37.78,11.9,2.52,1.4,1.31,5.64,0.51,0.01,0.03,0.04,4.33,0.08,0.04,-0.01,1.77,46.72,-0.01,19.27,-0.02,209951
DIS,111702.57,20.02,15.9,1.61,2.61,2.72,34.83,3.09,0,0.08,0.14,0.99,0.43,0.14,0.04,1.5,66.68,0,61.87,0,7038166
DISCA,19472.99,31.56,18.68,1.49,4.34,3.09,16.21,2.51,0.01,0.08,0.15,2.89,0.83,0.21,0,1.7,55.15,0,79.21,-0.01,711723
DK,2144.09,7.92,9.49,0.66,0.25,2.42,3.56,4.61,0.02,0.11,0.35,1.36,0.4,0.03,-0.01,2.85,48.63,0,36.52,0,350743
DKS,5949.52,20.7,14.38,1.38,1.02,3.69,17.23,2.3,0.01,0.1,0.18,1.59,0.01,0.05,0.01,1.23,49.13,0,47.6,0,1192131
DL,169.64,20.88,11.93,1.04,3.26,3.34,2.94,0.24,0.06,0.09,0.12,2.76,0,0.15,-0.01,2.52,49.32,0,5.01,-0.02,519
DLA,110.13,11.33,6.71,0.76,0.22,0.79,117.16,1.19,0.23,0.03,0.08,3.72,0.75,0.02,-0.15,1.41,31.21,-0.03,13.48,-0.16,108977
DLB,3407.36,14.79,16.14,1.48,3.67,2.58,7.84,2.27,0.02,0.14,0.16,4.28,0,0.26,0.03,1.52,58.48,0.03,33.58,0.04,1366926
DLLR,561.33,10.55,6.09,0.61,0.51,1.15,2.89,1.27,0.02,0.03,0.12,3.32,2.12,0.05,-0.03,1.58,33.69,-0.01,13.4,0.01,450919
DLPH,14100.17,13.46,9.31,1,0.91,6.02,12.76,3.32,0.01,0.12,0.53,1.43,1.05,0.07,0.04,1.81,59.48,0,44.7,0,2444557
DLTR,10769.09,17.83,14.89,0.99,1.46,6.46,26.93,2.69,0.01,0.24,0.41,2.18,0.16,0.08,0.01,1.53,55.48,0,47.95,-0.01,1491321
DLX,1966.16,11.62,10.08,1.55,1.3,4.51,43.27,3.32,0.01,0.12,0.46,1,1.51,0.11,-0.04,1.97,41.65,0,38.59,-0.01,446660
DMD,746.14,143.33,17.92,9.56,1.96,1.58,7.25,0.06,0.02,0.01,0.01,1.46,0,0.02,0.03,1.8,59.48,0,8.6,0.01,135012
DNKN,4102.21,40.61,21.43,2.6,6.14,11.87,22.89,0.95,0,0.03,0.19,1.37,5.29,0.16,0.01,1.44,56.09,0,38.58,-0.01,1274183
DO,9543.71,13.25,9.4,0.83,3.2,2.09,6.42,5.18,0,0.1,0.16,4.39,0.33,0.24,0.01,1.41,52.6,0,68.64,0,649781
DOV,11823.01,14.61,11.73,1.05,1.44,2.54,20.69,4.73,0.01,0.08,0.17,1.5,0.61,0.1,-0.03,1.51,40.72,0,69.1,-0.01,604246
DOW,40375.7,40.76,11.48,6.16,0.72,1.92,11.49,0.82,0,0.02,0.05,1.95,0.96,0.02,0.07,1.28,64.57,-0.01,33.42,-0.02,11417480
DOX,5655.83,14.69,11.17,1.53,1.73,1.84,5.88,2.38,0.1,0.09,0.13,2.28,0,0.12,-0.01,1.31,46.52,0,34.96,-0.01,330414
DPM,3451.54,20.49,18.12,1.25,2.01,2.76,2655.03,2.3,0,0.07,0.13,1.32,1.55,0.1,0,1.39,56.93,-0.02,47.12,-0.01,447403
DPS,9810.72,16.03,14.44,2.08,1.63,4.38,47.17,3,0,0.07,0.28,1.06,1.25,0.11,0.02,1.32,64.81,0,48.08,0,1282033
DRC,4052.24,22.64,12.2,1.26,1.48,3.69,33,2.35,0.01,0.06,0.18,1.41,0.96,0.07,-0.07,1.55,36.4,-0.01,53.2,-0.06,1328753
DRI,6619.01,15.55,16.03,2.85,0.8,3.39,63.71,3.28,0,0.07,0.23,0.56,1.42,0.05,0.02,1.3,63.01,0,50.99,0,1054666
DRQ,3274.02,27.48,17.3,1.45,4.47,3.07,12.73,2.94,0,0.1,0.12,5.96,0,0.16,-0.02,1.54,46.08,0,80.8,0,418526
DSGX,610.5,38.96,13.53,3.9,4.81,2.58,16.22,0.25,0.03,0.06,0.07,2.88,0,0.13,0.02,1.29,57.02,0,9.74,0.01,5358
DSW,2898.4,20.13,16.03,1.5,1.28,3.39,9.25,3.21,0,0.12,0.18,2.98,0,0.06,0,1.45,48.62,0,64.61,0,383381
DTE,12511.82,18.58,16.92,4.2,1.42,1.69,192.49,3.89,0,0.03,0.09,1.05,1.09,0.08,0.03,1.39,74.09,0,72.26,0,1700071
DTLK,188.77,16.83,8.94,0.84,0.38,1.98,18.29,0.6,0.12,0.03,0.12,1.15,0.06,0.02,-0.07,1.81,40.33,0,10.1,-0.01,72447
DUK,52811.48,24.38,16.31,5.85,2.69,1.29,30.06,3.07,0,0.02,0.05,1.01,0.99,0.09,0.02,1.28,67.92,0,74.86,0,2405757
DUSA,200.24,57.14,17.02,1.73,3.99,6.61,6.2,0.14,0.03,0.1,0.14,6.99,0,0.08,0,1.66,50,0,8,0,0
DV,1744.12,12.11,11,2.11,0.87,1.2,6.21,2.28,0.02,0.07,0.1,1.34,0,0.07,-0.11,1.91,36.72,-0.01,27.61,-0.04,602267
DVA,12680.05,22.01,14.93,1.55,1.55,3.37,23.44,5.46,0,0.05,0.18,1.43,2.27,0.08,-0.03,1.65,43.1,0,120.19,-0.01,607711
DVD,76.94,16,11.56,3.2,1.65,1.6,3846.96,0.13,0.13,0.05,0.1,0.28,0.41,0.1,0.02,1.91,61.24,0.01,2.08,-0.01,37773
DW,824.17,21.95,12.72,1.46,0.91,2.87,82.91,1.64,0.05,0.1,0.13,2.21,0,0.04,0.02,1.66,54.33,0,35.99,0.01,89619
DWSN,252.54,23.1,16.27,1.54,0.83,1.24,6.54,1.36,0.01,0.04,0.05,2.34,0.09,0.04,0.06,1.63,63.99,0,31.41,0.01,32926
DXLG,236.2,28.59,44.18,0.64,0.59,1.47,28.95,0.17,0.11,0.03,0.05,2.14,0,0.02,-0.03,1.95,48.1,0,4.86,0.01,110973
DXPE,955.72,20.18,14.05,0.73,0.87,4.53,91.37,3.35,0.12,0.1,0.28,2.3,1.14,0.05,-0.02,2.09,50.31,0,67.59,0,58715
DY,629.69,17.99,13.34,2.57,0.48,1.58,27.87,1.06,0.03,0.04,0.09,2.64,1.07,0.03,0.01,1.84,45.31,0,19.07,-0.03,125675
EA,5365.43,37.25,16.25,2.6,1.36,2.75,3.6,0.48,0,0.03,0.08,1.04,0.28,0.04,0.03,1.81,55.13,0,17.88,0,3222285
EAC,191.88,31.3,12.81,5.69,1.11,1.79,108.4,0.63,0.01,0.1,0.44,0.7,0.83,0.14,0.06,3.98,61.03,0.02,19.72,0.03,111077
EBAY,68185.89,25.38,16.27,1.68,4.69,3.22,7.25,2.07,0.1,0.08,0.14,1.91,0.21,0.19,-0.05,1.53,42.52,0,52.54,0,10609913
EBF,377.49,15.19,8.64,0.89,0.71,1.04,60.59,0.95,0.03,0.05,0.07,4.49,0.16,0.05,-0.01,1.25,43.57,0,14.43,-0.02,56875
EBIX,682.82,10.15,9.33,0.51,3.42,1.86,18.25,1.81,0,0.15,0.21,1.44,0.22,0.35,0.07,2.06,61.25,0,18.38,-0.03,187084
EBS,564.92,24.44,14.9,2.44,2,1.27,3.99,0.64,0.05,0.03,0.06,4.25,0.14,0.06,0.09,1.36,65.94,0,15.64,-0.01,256387
ECHO,418.18,33.22,16.31,1.04,0.55,2.89,10.01,0.54,0.03,0.06,0.09,2,0,0.02,-0.14,1.44,29.9,-0.06,17.94,-0.06,917073
ECL,24517.89,35.29,20.08,2.23,2.07,4.02,21.18,2.35,0,0.04,0.12,1.6,1.08,0.06,0.02,1.39,59.8,0,82.94,-0.01,636974
ECOL,485.29,18.83,15.33,2.69,2.87,4.31,228.91,1.4,0.01,0.12,0.24,1.47,0.4,0.15,0.01,1.75,54.06,0,26.36,0,82129
ED,18404.58,16.28,16.36,8.02,1.51,1.55,46.71,3.86,0,0.03,0.1,0.87,0.95,0.09,0.02,1.21,71.91,0,62.84,0,907488
EDU,12112.9,25.16,16.77,1.11,13.93,3.54,14.43,0.76,0.01,0.11,0.16,2.34,0,0.14,0.09,3.07,64.42,0,19.12,-0.02,1930681
EE,1460.43,16.07,14.7,4.34,1.71,1.76,13.15,2.26,0.01,0.04,0.11,1.62,1.24,0.11,0.07,1.3,73.29,0,36.32,0,140551
EEFT,1462.94,79.46,13.3,5.52,1.12,2.78,9.42,0.37,0.05,0.01,0.04,1.11,0.56,0.01,0.08,1.92,70.29,0,29.4,-0.01,207449
EEP,8951.35,23.06,23.43,5.1,1.33,2.01,39.28,1.28,0,0.05,0.09,0.67,1.35,0.08,-0.01,1.16,50.54,0,29.52,-0.01,810875
EFII,1235.97,14.85,16.41,1.14,1.86,1.85,3.24,1.79,0.01,0.09,0.14,1.71,0,0.13,0.05,1.98,60.41,0,26.58,-0.01,236142
EFX,7397.01,27.63,15.37,2.45,3.42,3.82,50.39,2.22,0.01,0.07,0.15,0.82,0.9,0.13,0.05,1.46,72.99,0,61.33,0,551849
EGHT,519.48,7.02,25.82,0.47,5.04,3.89,11.17,1.03,0.03,0.71,0.81,3.97,0,0.74,0.04,2.09,58.6,-0.01,7.23,-0.02,343217
EGN,3307.68,13.05,11.65,1.09,2.05,1.23,341,3.51,0.01,0.04,0.1,0.37,0.67,0.16,-0.06,1.39,36.18,0,45.8,-0.03,935170
EGO,5252.16,16.7,12.25,0.84,4.58,0.89,6.41,0.44,0.01,0.05,0.07,4.9,0.1,0.28,-0.06,2.44,39.67,0,7.35,-0.03,5801973
EGOV,1131.1,43.11,31.35,2.65,5.36,14.14,18.14,0.4,0.05,0.18,0.36,2.04,0,0.12,-0.05,1.87,42.42,0.01,17.25,0.01,364443
EGY,382.79,661,4.79,330.5,1.96,1.8,2.93,0.01,0.03,0.02,0,3.31,0,0.03,-0.04,1.53,40.78,-0.01,6.61,-0.02,230779
EHTH,408.66,61.76,37.5,6.18,2.63,2.51,2.9,0.34,0.02,0.04,0.04,7.5,0,0.05,0.06,1.96,63.53,0.04,21,0.04,402585
EIX,17381.96,11.7,14.62,7.5,1.47,1.55,102.25,4.56,0,0.03,0.15,0.71,0.84,0.13,0.04,1.28,76.64,0,53.35,0,1055825
EL,26632.45,29.31,23.43,2.03,2.67,8.58,20.12,2.35,0.02,0.14,0.32,2.12,0.44,0.09,0.03,1.43,60.77,0,68.88,0,1745199
ELLI,675.12,33.78,19.75,1.57,6.63,4.01,11.18,0.76,0.01,0.14,0.16,4.69,0,0.19,0.09,2.43,68.73,0,25.67,0.04,509874
EMC,47037.81,18.2,10.82,1.37,2.14,2.08,7.21,1.23,0,0.08,0.13,1.21,0.07,0.13,-0.02,1.34,43.37,0,22.39,-0.01,23042720
EME,2552.86,17.21,13.54,1.23,0.4,1.88,5.11,2.21,0.03,0.05,0.11,1.67,0.11,0.02,-0.03,1.71,43.08,0,38.04,-0.01,449588
EMN,10691.73,22.69,9.67,2.51,1.32,3.61,42.94,3.04,0,0.05,0.18,1.9,1.63,0.06,0.01,1.84,49.09,-0.01,68.97,-0.05,2655083
EMR,39309.49,19.44,13.64,1.99,1.59,3.76,15.56,2.8,0,0.09,0.2,1.4,0.52,0.09,-0.01,1.38,44.51,0,54.44,-0.02,3234519
ENB,37759.21,59.6,21.85,4.97,1.52,3.62,21.61,0.77,0.07,0.02,0.09,0.93,2.09,0.04,0.01,1.29,55.55,0,45.89,0,574312
ENR,5933.84,15.55,12.62,1.47,1.3,2.7,7.54,6.15,0,0.06,0.18,2.09,1.16,0.09,-0.01,1.59,50.31,0,95.63,-0.01,283704
ENS,2132.33,12.42,12.12,0.96,0.93,1.83,9.33,3.59,0.01,0.09,0.16,2.6,0.21,0.08,0,1.53,53.52,0,44.6,-0.02,255152
ENSG,759.68,18.59,11.46,1.24,0.92,2.29,16.47,1.85,0.01,0.06,0.13,1.38,0.64,0.05,0.01,1.55,55.48,0,34.39,0,50550
ENTG,1327.22,19.41,13.59,1.85,1.88,1.88,3.92,0.49,0.01,0.09,0.1,6.95,0,0.1,0,1.37,49.34,0,9.51,-0.02,528661
ENTR,370.89,83,12.97,5.53,1.15,1.15,3.82,0.05,0,0.01,0.01,6.38,0,0.01,0.04,1.95,53.62,0,4.15,-0.01,317073
ENV,586.32,453.25,23.55,18.13,3.73,4.66,19.56,0.04,0.04,0.01,0.01,1.43,0,0.01,0.02,1.79,61.9,0,18.13,0,112662
EOG,32388.73,56.72,16.12,2.84,2.77,2.44,36.95,2.1,0.01,0.02,0.04,1.23,0.48,0.05,-0.03,1.68,45.12,0,119.12,-0.02,2338162
EPAM,958.17,17.93,11.29,0.9,2.21,3.31,8.11,1.19,0.09,0.19,0.27,4.23,0,0.13,-0.05,1.71,42.04,-0.01,21.34,-0.01,81835
EPAX,59.43,38.78,21.81,2.59,1.02,0.91,1.55,0.09,0.03,0.02,0.02,1.91,0,0.03,-0.1,1.68,26.98,0.01,3.49,0.02,21443
EPB,9364.68,19.78,19.6,2.68,6.18,4.58,82.15,2.15,0,0.09,0.11,1.26,2.18,0.39,-0.01,1.53,46.27,0,42.53,-0.01,308811
EPD,55399.75,22.43,20.89,4.1,1.3,4.18,3440.98,2.71,0.01,0.07,0.19,0.75,1.23,0.06,0,1.42,57.04,-0.01,60.79,-0.01,1082420
EPIQ,493.54,22.52,19.63,2.25,1.32,1.44,129.54,0.61,0.13,0.03,0.07,1.98,0.62,0.06,0.01,1.43,56.64,0,13.74,0,77284
EPL,1241.71,21.25,7.67,4.25,2.93,2.27,816.91,1.49,0.01,0.04,0.11,0.45,1.26,0.14,0.06,2.27,62.3,0,31.66,-0.01,166975
EQIX,10437.03,79.81,44.06,3.89,5.29,4.4,11.37,2.65,0.01,0.02,0.06,1.59,1.93,0.07,-0.01,1.58,47.46,0,211.49,-0.01,1040828
EQM,1526.72,27.48,20.54,4.36,11.15,3.26,69.55,1.57,0.24,0.09,0.1,1.34,0.45,0.4,0.13,1.93,76.61,0.02,43.14,0.05,154970
EQT,11109.99,52.75,25.38,2.13,6.35,3.05,32.29,1.4,0.01,0.03,0.06,1.32,0.69,0.13,0.09,1.74,72.08,0,73.85,0,1505161
ES,375.25,82.4,18.73,5.49,0.21,1.24,1.31,0.05,0,0,0.01,1.23,2.71,0,0.02,3.01,73.28,0,4.12,0,785552
ESE,944.42,23.07,13,2.31,1.39,1.52,28.2,1.55,0.03,0.04,0.07,1.76,0.27,0.06,-0.07,1.29,31.07,0,35.76,0,68337
ESGR,2102.43,12.52,10.77,1.25,13.15,1.34,0.48,10.1,0.01,0.03,0.11,1.5,0.07,1.2,0.02,1.46,57.43,0,126.5,-0.01,20275
ESL,2288.92,20.18,11.99,1.35,1.16,1.38,11.29,3.66,0,0.04,0.07,2.73,0.49,0.06,0,1.52,53.38,0,73.86,-0.01,74176
ESLT,1752.68,10.48,8.79,0.93,0.61,1.72,6.62,3.99,0.05,0.04,0.18,1.25,0.66,0.06,0,1.51,53.01,0.01,41.82,0.01,2970
ESRX,47483.88,34.68,11.77,1.93,0.51,2.03,17,1.67,0,0.04,0.1,0.82,0.68,0.01,0.02,1.33,58.57,0,57.91,0,4641728
ESV,12903.33,10.57,7.1,0.39,3,1.09,24.02,5.24,0,0.07,0.11,1.74,0.41,0.28,-0.02,1.62,44.49,0,55.41,0,1388263
ETE,16481.24,37.26,24.03,1.79,0.97,7.81,41.51,1.58,0,0.04,0.38,0.96,10.59,0.08,0.01,1.85,58.62,0,58.87,0,353624
ETH,851.66,27.32,17.46,1.44,1.16,2.59,8.36,1.08,0.08,0.05,0.1,2.05,0.47,0.04,-0.07,1.91,40.89,-0.01,29.51,-0.02,541759
ETM,309.68,28.57,9.64,14.29,0.8,1.16,34.72,0.28,0.13,0.01,0.04,1.75,2.2,0.03,0.05,1.78,55.4,0,8,-0.03,27548
ETN,27719.75,16.66,11.3,1.54,1.7,1.83,25.11,3.52,0,0.05,0.11,1.44,0.72,0.07,-0.01,1.8,46.72,0.01,58.65,0,3571092
ETR,12331.99,10.6,14.05,3.03,1.17,1.3,40.12,6.52,0,0.03,0.13,0.85,1.42,0.11,0.02,1.18,61.13,0,69.11,0.01,1431193
EVC,302.4,21.88,12.07,7.29,1.35,58.33,8.37,0.16,0.01,0.03,5.62,2.24,63.11,0.06,0.06,3.83,58.15,-0.01,3.5,-0.03,597511
EW,7285.22,20.24,17.49,1.28,3.76,4.6,13.06,3.17,0.01,0.17,0.25,4.53,0.12,0.19,-0.21,1.74,19.34,0,64.17,-0.02,1500233
EXAC,245.21,18.34,14.67,1.31,1.09,1.4,55.73,1,0.03,0.05,0.08,4.03,0.23,0.06,-0.06,1.41,39.41,-0.01,18.34,-0.02,41613
EXLS,1035.16,25.13,15.12,1.37,2.34,2.99,9.48,1.27,0.03,0.1,0.13,2.8,0.01,0.09,0,1.63,53.16,0,31.91,0,88179
EXP,3373.26,53.81,24.06,6.73,5.62,4.91,364.68,1.27,0.01,0.05,0.1,2.2,0.7,0.1,0.05,2.46,59.01,-0.01,68.34,0,766776
EXPD,7317.42,22.56,17.45,1.5,1.22,3.61,5.8,1.57,0.01,0.11,0.17,2.8,0,0.06,-0.01,1.29,38.83,0,35.42,0,1358818
EXPE,7928.44,27.11,14.46,2.38,1.97,3.48,4.09,2.16,0.04,0.04,0.14,0.88,0.55,0.08,-0.06,2.17,38.47,-0.05,58.56,-0.1,8891430
EXPO,693.13,20.2,20.43,1.68,2.36,3.18,6.24,2.6,0.03,0.13,0.18,4.82,0,0.13,0,1.29,52.49,0,52.51,0,68059
EXPR,1523.5,11.16,10.38,0.59,0.71,4.1,5.94,1.6,0.02,0.15,0.43,1.65,0.54,0.06,0,2.34,51.33,0,17.85,0.01,625038
EXTR,306.5,16.35,10.22,0.82,0.98,1.63,2.45,0.2,0.02,0.07,0.11,2.17,0,0.06,0.04,1.37,56.62,0.07,3.27,0.06,2319342
EXXI,1768.93,9.02,8.35,0.9,1.39,1.25,43.25,2.47,0.03,0.07,0.16,0.83,0.81,0.18,-0.09,1.78,30.1,0,22.29,-0.02,715322
EZPW,923.06,6.5,5.7,0.43,0.9,1.01,19.78,2.62,0.04,0.13,0.17,3.86,0.26,0.14,-0.09,1.65,29.92,-0.01,17.04,-0.02,682037
FARO,632.5,27.62,18.6,1.38,2.31,2.22,4,1.34,0,0.07,0.09,5.17,0,0.08,-0.06,1.86,41.62,-0.01,37.01,-0.01,68467
FAST,14675.77,34.12,26.17,1.93,4.63,8.95,91.92,1.45,0.08,0.23,0.27,5.44,0,0.14,0.01,1.45,49.13,0,49.47,0,1204616
FB,63960.19,2685,34.42,91.98,12.57,5.42,6.64,0.01,0.01,0,0,10.71,0.2,0.01,0.01,2.56,53.94,0.02,26.85,0.03,32820144
FBHS,6040.77,51.77,23.12,2.45,1.68,2.53,17.98,0.71,0.01,0.03,0.05,1.94,0.14,0.03,0.03,1.98,56.68,0,36.76,0,1007110
FC,216.79,26.6,15.11,1.12,1.23,2.29,13.95,0.5,0.28,0.06,0.11,2.19,0.32,0.05,-0.04,1.68,40.69,-0.01,13.3,-0.01,40391
FCFS,1508.46,17.93,13.83,1,2.42,3.77,39.34,2.84,0.02,0.19,0.24,6.85,0.16,0.13,-0.07,1.69,36.86,0,50.91,-0.01,154006
FCS,1722.74,69.33,11.45,13.87,1.23,1.17,4.64,0.18,0,0.01,0.02,4.38,0.18,0.02,-0.06,1.41,39.96,0,12.48,-0.02,1420330
FCX,27941.35,9.58,6.99,3.19,1.55,1.56,2.91,3.07,0,0.1,0.17,5.06,0.56,0.21,-0.04,1.56,41.42,0,29.42,-0.01,13580145
FDO,7234.95,17.24,14.84,1.39,0.72,5.08,55.4,3.65,0,0.12,0.32,1.52,0.49,0.04,0.04,1.37,64.67,0,62.94,0,896052
FDP,1575.9,11.11,10.81,1.59,0.46,0.88,39.5,2.47,0.15,0.06,0.08,2.55,0.07,0.04,0.02,1.26,59.82,0,27.45,0,151767
FDS,4053.2,21.79,18.25,1.61,4.86,7.34,24.4,4.23,0.07,0.29,0.35,3,0,0.23,0.01,1.25,50.66,0.01,92.16,0.01,334388
FDX,29842.82,16.47,12.52,1.33,0.68,1.85,8.85,5.72,0.05,0.06,0.11,1.91,0.14,0.04,-0.01,1.32,40.29,0,94.18,0,1652339
FE,19438.87,25.26,15.39,6.65,1.27,1.49,113.02,1.84,0,0.02,0.06,0.5,1.46,0.05,0.04,1.29,77.95,0,46.48,0,1957213
FEIC,2415.01,22.37,17.16,1.35,2.71,2.87,6.98,2.8,0,0.1,0.15,2.53,0.11,0.13,-0.01,1.57,46.35,0,62.63,-0.02,634692
FELE,1489.78,18.27,16.21,0.46,1.67,2.9,14.42,1.73,0.02,0.09,0.17,2.95,0.32,0.09,0,1.51,48.93,-0.01,31.61,-0.02,96628
FET,2452.21,15.76,11.95,0.8,1.73,1.93,59.72,1.69,0.02,0.09,0.17,2.76,0.36,0.11,-0.01,1.57,47.14,-0.02,26.64,0,770695
FFIV,5831.38,21.57,14.58,1.39,4.08,4.07,11.15,3.44,0,0.14,0.21,1.54,0,0.19,-0.04,1.96,37.41,-0.01,74.2,-0.01,1626455
FICO,1567.95,18.88,13.98,1.63,2.19,2.96,11.96,2.34,0.01,0.07,0.18,1.49,0.95,0.12,0.02,1.26,54.72,0,44.18,0,280930
FII,2377.87,12.65,12.05,1.75,2.52,3.97,7.75,1.8,0.04,0.17,0.31,2.52,0.44,0.21,-0.02,1.52,43.77,-0.04,22.77,-0.03,1748622
FIRE,1588.88,319,42.53,15.19,7.12,6.32,8.63,0.16,0.02,0.02,0.02,2.96,0,0.02,-0.05,1.51,40.48,0,51.04,-0.01,525000
FIS,11933.11,22.41,13.03,1.87,2.05,1.81,21.69,1.82,0.07,0.04,0.08,1.47,0.66,0.1,0.02,1.38,60.59,0,40.79,-0.01,2152705
FISV,11991.8,20.72,13.49,1.65,2.68,3.52,33.5,4.35,0,0.07,0.18,1.28,0.95,0.13,0.03,1.4,66.2,0,90.13,0,504574
FIX,469.1,36,20.66,5.14,0.35,1.74,11.51,0.35,0.01,0.02,0.05,1.39,0.03,0.01,-0.03,1.64,45.22,0,12.6,-0.01,93539
FL,5057.88,13.06,10.87,1.3,0.82,2.13,5.45,2.58,0.01,0.12,0.18,3.72,0.06,0.06,0.01,1.36,54.19,0,33.69,0.01,1798796
FLEX,4505.55,9.96,8.48,1.52,0.18,1.88,2.64,0.69,0,0.04,0.2,1.29,0.87,0.02,0.01,1.31,55.01,-0.01,6.87,-0.01,1689048
FLIR,3434.71,16.15,13.27,1.29,2.44,2.16,10.68,1.47,0.01,0.1,0.14,4.87,0.16,0.16,-0.05,1.53,32.2,-0.02,23.75,-0.03,2499369
FLL,50.76,1.82,13.55,0.12,0.39,0.62,2.46,1.49,0,0.23,0.42,2.11,0.85,0.23,-0.01,1.55,40.77,-0.01,2.71,0,12341
FLO,4478.65,33.06,20.9,3.8,1.47,5.23,337.25,0.98,0.05,0.08,0.17,1.31,0.71,0.04,0.01,1.82,60.55,0,32.4,0,394316
FLOW,173.83,17.95,11.97,0.6,0.66,1.76,13.86,0.2,0,0.06,0.11,1.95,0.1,0.04,0,1.57,50.63,0,3.59,0.01,139296
FLR,9180.92,20.96,12.05,1.81,0.33,2.74,4.01,2.69,0,0.07,0.14,1.57,0.16,0.02,-0.05,1.5,39.56,0,56.38,0,1098993
FLS,7517.41,18.19,13.4,1.27,1.57,4.19,44.37,8.67,0,0.1,0.22,1.68,0.6,0.1,-0.01,1.74,47.79,0,157.73,0,328702
FLT,6143.32,29.95,18.06,2.5,8.68,6.7,21.66,2.52,0.02,0.09,0.25,1.05,0.71,0.31,-0.01,2.34,53.03,0,75.48,0.01,516476
FLTX,784.94,141.62,24.37,4.7,6.16,6.49,7.84,0.16,0.11,0.03,1.02,3.26,0.2,0.04,-0.03,1.43,40.58,0,22.66,-0.01,255918
FLWS,378.08,30.74,20.86,1.92,0.52,2.22,14.02,0.19,0.1,0.05,0.08,1.26,0.13,0.02,0.11,2.08,75.34,0.01,5.84,0.03,148212
FMC,8245.06,18.66,13.13,1.63,2.2,5.57,106.94,3.21,0.01,0.12,0.33,1.92,0.65,0.12,0.04,1.32,59.21,0,59.89,-0.01,862373
FMCN,3593.12,6.65,8.53,0.3,3.86,2.39,4.55,4.09,0.35,0.14,0.18,4.11,0,0.28,0.02,1.63,75.47,0,27.2,0,1456219
